,episode,success,sim_steps,noise_stddev,total_reward,agent_time_ratio,agent_id
214,64,False,999,"[0, 0]",-0.20597726710821745,6,1
215,65,False,999,"[0, 0]",-0.1104362365815945,6,1
216,66,False,999,"[0, 0]",-0.575452584880767,6,1
217,67,False,999,"[0, 0]",-2.3274093986928275,6,1
218,68,False,999,"[0, 0]",-1.3742746205772902,6,1
219,69,False,999,"[0, 0]",-2.4548463801606974,6,1
220,70,False,999,"[0, 0]",-1.0207313846564472,6,1
221,71,False,999,"[0, 0]",-0.33137928788872084,6,1
222,72,False,999,"[0, 0]",-0.05987729550547005,6,1
223,73,False,999,"[0, 0]",-0.27028463926736623,6,1
224,74,False,999,"[0, 0]",-0.23044157214460156,6,1
225,75,False,999,"[0, 0]",-0.39161500816226386,6,1
226,76,False,999,"[0, 0]",-1.3221914359315783,6,1
227,77,False,999,"[0, 0]",-0.3040361753393898,6,1
228,78,False,999,"[0, 0]",-1.103836434508134,6,1
229,79,False,999,"[0, 0]",-0.5319797975300575,6,1
230,80,False,999,"[0, 0]",-1.2186124089176742,6,1
231,81,False,999,"[0, 0]",-0.9842774562613912,6,1
232,82,False,999,"[0, 0]",-0.32126587427813524,6,1
233,83,False,999,"[0, 0]",-0.07049747735825612,6,1
234,84,False,999,"[0, 0]",-0.8249428064995383,6,1
235,85,False,999,"[0, 0]",-0.7193216567445577,6,1
236,86,False,999,"[0, 0]",-0.3073441632375815,6,1
237,87,False,999,"[0, 0]",-1.4367142471775876,6,1
238,88,False,999,"[0, 0]",-0.2006376944407578,6,1
239,89,False,999,"[0, 0]",-0.4053947109300635,6,1
240,90,False,999,"[0, 0]",-0.14591663877945574,6,1
241,91,False,999,"[0, 0]",-0.42254793582344596,6,1
242,92,False,999,"[0, 0]",-0.10884829524961692,6,1
243,93,False,999,"[0, 0]",-0.8683216123980606,6,1
244,94,False,999,"[0, 0]",-0.40353496745548356,6,1
245,95,False,999,"[0, 0]",-0.6548179012887377,6,1
246,96,False,999,"[0, 0]",-0.058595312267306195,6,1
247,97,False,999,"[0, 0]",-0.4871819228086444,6,1
248,98,False,999,"[0, 0]",-0.19575859318585473,6,1
249,99,False,999,"[0, 0]",-0.2102925600388147,6,1
250,100,False,999,"[0, 0]",-0.6744410876272635,6,1
251,101,False,999,"[0, 0]",-0.1467511511281104,6,1
252,102,False,999,"[0, 0]",-0.05094280829233063,6,1
253,103,False,999,"[0, 0]",-0.2745806098056128,6,1
254,104,False,999,"[0, 0]",-0.05890731337165242,6,1
255,105,False,999,"[0, 0]",-0.21310563775208297,6,1
256,106,False,999,"[0, 0]",-1.0061331308620658,6,1
257,107,False,999,"[0, 0]",-0.26922388076576154,6,1
258,108,False,999,"[0, 0]",-0.5849980292521387,6,1
259,109,False,999,"[0, 0]",-1.0319212626421446,6,1
260,110,False,999,"[0, 0]",-0.21178766240205935,6,1
261,111,False,999,"[0, 0]",-0.28412414008395565,6,1
262,112,False,999,"[0, 0]",-0.04772702893124183,6,1
263,113,False,999,"[0, 0]",-0.1282000479764472,6,1
264,114,False,999,"[0, 0]",-0.37854187545842555,6,1
265,115,False,999,"[0, 0]",-0.670393898731483,6,1
266,116,False,999,"[0, 0]",-0.17342484098810004,6,1
267,117,False,999,"[0, 0]",-0.19546197134957505,6,1
268,118,False,999,"[0, 0]",-0.04555190980677566,6,1
269,119,False,999,"[0, 0]",-0.40306493576410807,6,1
270,120,False,999,"[0, 0]",-0.7031159616105224,6,1
271,121,False,999,"[0, 0]",-0.10220769609322072,6,1
272,122,False,999,"[0, 0]",-0.8649603709316918,6,1
273,123,False,999,"[0, 0]",-0.4979558713722425,6,1
274,124,False,999,"[0, 0]",-0.21753017873187658,6,1
275,125,False,999,"[0, 0]",-0.41091884709846194,6,1
276,126,False,999,"[0, 0]",-0.1810700606285073,6,1
277,127,False,999,"[0, 0]",-1.2601415096035753,6,1
278,128,False,999,"[0, 0]",-0.45927059232675665,6,1
279,129,False,999,"[0, 0]",-0.4222263462397997,6,1
280,130,False,999,"[0, 0]",-0.23629320049466132,6,1
281,131,False,999,"[0, 0]",-1.1685290439951495,6,1
282,132,False,999,"[0, 0]",-0.18730691347820436,6,1
283,133,False,999,"[0, 0]",-0.37364285508616135,6,1
284,134,False,999,"[0, 0]",-0.24622251836894712,6,1
