episode,success,sim_steps,VFE_post_run,noise_stddev,agent_num
21,False,999,4.974286079406738,"[0.05, 0.05]",9
22,False,999,4.280672550201416,"[0.05, 0.05]",9
23,False,999,4.653598308563232,"[0.05, 0.05]",9
24,True,839,4.75818395614624,"[0.05, 0.05]",9
25,False,999,4.240880012512207,"[0.05, 0.05]",9
26,True,296,4.3283843994140625,"[0.05, 0.05]",9
27,True,357,4.234766960144043,"[0.05, 0.05]",9
28,True,778,4.067561149597168,"[0.05, 0.05]",9
29,True,960,4.967048168182373,"[0.05, 0.05]",9
30,True,484,5.009957313537598,"[0.05, 0.05]",9
31,False,999,3.9011521339416504,"[0.05, 0.05]",9
32,True,516,4.40737247467041,"[0.05, 0.05]",9
33,True,457,4.849414348602295,"[0.05, 0.05]",9
34,False,999,4.0351409912109375,"[0.05, 0.05]",9
35,True,505,5.513429164886475,"[0.05, 0.05]",9
36,True,330,5.354253768920898,"[0.05, 0.05]",9
37,True,379,4.681528568267822,"[0.05, 0.05]",9
38,True,812,5.331900119781494,"[0.05, 0.05]",9
39,True,183,4.96893310546875,"[0.05, 0.05]",9
0,True,719,38.25335693359375,"[0.05, 0.05]",0
1,False,999,36.788475036621094,"[0.05, 0.05]",0
2,False,999,13.779945373535156,"[0.05, 0.05]",0
3,True,481,11.647941589355469,"[0.05, 0.05]",0
4,True,985,7.393414497375488,"[0.05, 0.05]",0
5,False,999,4.396841526031494,"[0.05, 0.05]",0
6,False,999,3.6930911540985107,"[0.05, 0.05]",0
7,False,999,4.078125953674316,"[0.05, 0.05]",0
8,False,999,5.084120273590088,"[0.05, 0.05]",0
9,True,858,6.123655796051025,"[0.05, 0.05]",0
10,False,999,4.960380554199219,"[0.05, 0.05]",0
11,False,999,4.2118401527404785,"[0.05, 0.05]",0
12,False,999,3.406189441680908,"[0.05, 0.05]",0
13,True,383,6.211019515991211,"[0.05, 0.05]",0
14,False,999,3.582688093185425,"[0.05, 0.05]",0
15,False,999,4.385594844818115,"[0.05, 0.05]",0
16,False,999,4.789567470550537,"[0.05, 0.05]",0
17,False,999,4.952240467071533,"[0.05, 0.05]",0
18,False,999,3.846141815185547,"[0.05, 0.05]",0
19,False,999,4.232011795043945,"[0.05, 0.05]",0
20,True,746,4.380798816680908,"[0.05, 0.05]",0
21,True,560,5.406099796295166,"[0.05, 0.05]",0
22,False,999,4.647977352142334,"[0.05, 0.05]",0
23,False,999,3.860042095184326,"[0.05, 0.05]",0
