episode,success,sim_steps,VFE_post_run,noise_stddev,agent_num
34,True,260,8.82292366027832,"[0.05, 0.05]",8
35,True,156,7.23557186126709,"[0.05, 0.05]",8
36,True,236,7.072938442230225,"[0.05, 0.05]",8
37,True,263,8.516580581665039,"[0.05, 0.05]",8
38,True,235,6.783687591552734,"[0.05, 0.05]",8
39,True,590,9.946486473083496,"[0.05, 0.05]",8
0,False,999,45.99794387817383,"[0.05, 0.05]",0
1,False,999,58.34835433959961,"[0.05, 0.05]",0
2,True,346,58.854591369628906,"[0.05, 0.05]",0
3,True,567,78.39896392822266,"[0.05, 0.05]",0
4,False,999,47.10629653930664,"[0.05, 0.05]",0
5,True,234,78.05126953125,"[0.05, 0.05]",0
6,True,198,49.10845184326172,"[0.05, 0.05]",0
7,True,325,59.577613830566406,"[0.05, 0.05]",0
8,True,168,47.416500091552734,"[0.05, 0.05]",0
9,True,340,54.8017463684082,"[0.05, 0.05]",0
10,True,178,42.83594512939453,"[0.05, 0.05]",0
11,True,382,56.8691291809082,"[0.05, 0.05]",0
12,True,203,37.24034881591797,"[0.05, 0.05]",0
13,True,254,35.46576690673828,"[0.05, 0.05]",0
14,True,206,31.30472183227539,"[0.05, 0.05]",0
15,True,250,23.086511611938477,"[0.05, 0.05]",0
16,True,300,23.237186431884766,"[0.05, 0.05]",0
17,True,384,26.12866973876953,"[0.05, 0.05]",0
18,True,467,34.034645080566406,"[0.05, 0.05]",0
19,True,278,37.352230072021484,"[0.05, 0.05]",0
20,True,347,22.357152938842773,"[0.05, 0.05]",0
21,True,345,16.88338279724121,"[0.05, 0.05]",0
22,True,619,24.66557502746582,"[0.05, 0.05]",0
23,True,333,16.337194442749023,"[0.05, 0.05]",0
24,True,540,19.60030746459961,"[0.05, 0.05]",0
25,True,187,16.816038131713867,"[0.05, 0.05]",0
26,True,258,16.581249237060547,"[0.05, 0.05]",0
27,True,442,16.40578269958496,"[0.05, 0.05]",0
28,True,445,18.655704498291016,"[0.05, 0.05]",0
29,True,389,11.262975692749023,"[0.05, 0.05]",0
30,True,166,13.584047317504883,"[0.05, 0.05]",0
31,True,800,15.098930358886719,"[0.05, 0.05]",0
32,True,939,12.486601829528809,"[0.05, 0.05]",0
33,True,337,12.416853904724121,"[0.05, 0.05]",0
34,True,408,10.61558723449707,"[0.05, 0.05]",0
